Fecha,PIB,PET,EMBI,CRED
2010-03-31,15074.51,99.06,708.0,8042.82
2010-06-30,15399.26,100.56,676.0,7960.85
2010-09-30,15337.15,89.87,640.0,8454.64
2010-12-31,15288.45,89.71,843.0,8707.06
2011-03-31,15444.88,79.53,845.0,8663.23
2011-06-30,15864.88,66.77,1071.0,9080.75
2011-09-30,15956.88,64.08,1063.0,9271.64
2011-12-31,15655.12,63.0,1353.0,9241.41
2012-03-31,15889.58,49.6,1240.0,9751.56
2012-06-30,16461.38,54.05,1325.0,10002.16
2012-09-30,16130.49,31.9,1432.0,10316.61
2012-12-31,15950.14,50.33,1252.0,10520.76
2013-03-31,16476.29,50.21,1321.0,10244.47
2013-06-30,16573.01,53.81,1334.0,10542.43
2013-09-30,16421.26,62.73,1008.0,11043.01
2013-12-31,16415.66,60.06,1048.0,11252.76
2014-03-31,16768.08,76.63,951.0,11463.01
2014-06-30,17387.14,86.48,900.0,12340.55
2014-09-30,17023.8,97.61,665.0,11894.18
2014-12-31,16768.15,91.19,611.0,12217.11
2015-03-31,17619.85,90.96,742.0,12390.8
2015-06-30,17786.13,91.27,740.0,12540.28
2015-09-30,17650.13,94.8,784.0,12556.95
2015-12-31,17246.29,86.34,865.0,12981.79
2016-03-31,17798.34,75.08,876.0,12885.43
2016-06-30,18316.64,72.57,1052.0,13202.64
2016-09-30,17947.35,62.76,1160.0,13362.93
2016-12-31,17996.35,60.15,1172.0,13686.37
2017-03-31,18269.9,46.26,1452.0,14342.93
2017-06-30,18736.25,44.59,1388.0,13716.55
2017-09-30,18509.74,43.04,1271.0,14437.25
2017-12-31,18697.84,38.91,1403.0,14187.46
2018-03-31,18837.98,51.26,1225.0,14625.61
2018-06-30,19101.34,56.61,1292.0,15147.79
2018-09-30,19203.38,62.3,1229.0,15152.86
2018-12-31,18716.87,68.83,968.0,15134.45
2019-03-31,19351.33,70.65,1007.0,15416.94
2019-06-30,19446.05,82.59,870.0,15905.92
2019-09-30,19360.77,88.51,829.0,15833.93
2019-12-31,19409.53,89.77,868.0,16233.29
2020-03-31,17710.77,59.19,3680.0,16409.11
2020-06-30,18045.71,60.8,3656.0,16479.68
2020-09-30,17822.65,99.66,3692.0,17248.79
2020-12-31,17614.83,85.57,772.0,17156.78
2021-03-31,20058.22,79.01,924.0,16834.97
2021-06-30,20592.02,69.63,1061.0,17487.29
2021-09-30,20450.9,52.68,1158.0,17527.64
2021-12-31,20498.57,55.17,1295.0,18040.49
2022-03-31,20811.54,50.08,1304.0,17921.5
2022-06-30,20915.54,58.54,1467.0,18267.05
2022-09-30,21048.61,44.04,1345.0,18601.0
2022-12-31,20762.24,47.73,1568.0,18883.15
2023-03-31,21138.46,49.6,1353.0,18679.94
2023-06-30,21751.75,49.46,1161.0,19063.1
2023-09-30,21634.65,67.99,1051.0,19245.01
2023-12-31,21439.69,73.76,1072.0,19419.33
2024-03-31,21594.12,81.68,912.0,20113.09
2024-06-30,22093.62,80.15,895.0,20051.0
2024-09-30,22009.69,97.24,802.0,19927.82
2024-12-31,21926.33,86.77,710.0,20573.57
2025-03-31,22128.12,97.93,632.0,21024.43
2025-06-30,22592.15,104.73,595.0,21016.49
2025-09-30,22274.05,85.27,728.0,20716.13
2025-12-31,22080.57,81.86,906.0,21133.15
